"Country","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb"
"Afganistán",56.937760009803,25.495,74.505,3.35038297624495
"África al sur del Sahara",50.7620843086558,40.1768233729515,59.8231766270485,4.05914397581759
"África al sur del Sahara (BIRF y la AIF)",50.7620843086558,40.1768233729515,59.8231766270485,4.05914397581759
"África al sur del Sahara (excluido altos ingresos)",50.7039075235864,40.1746156500903,59.8253843499097,4.06456693803135
"Albania",104.612262773723,60.319,39.681,1.31716210445698
"Alemania",237.30759674834,77.312,22.688,0.366515155973305
"América del Norte",19.9446030981652,82.173045483989,17.826954516011,0.838061719332956
"América Latina y el Caribe",31.9606855829336,80.6247918347603,19.3752081652397,1.23516770453622
"América Latina y el Caribe (BIRF y la AIF)",31.3689062356742,80.6440236823732,19.3559763176268,1.28933550571386
"América Latina y el Caribe (excluido altos ingresos)",31.9740951252252,80.445101086925,19.554898913075,1.26232579661634
"Andorra",163.842553191489,88.062,11.938,-0.092859413109399
"Angola",24.7130520574316,65.514,34.486,4.31179134171658
"Antigua y Barbuda",218.831818181818,24.599,75.401,0.431582289598593
"Arabia Saudita",15.6766543082956,83.844,16.156,2.06400437868026
"Argelia",17.7300750711665,72.629,27.371,2.80499567674668
"Argentina",16.2585100979651,91.87,8.13,1.14760215897919
"Armenia",103.680224798033,63.149,36.851,0.309165596528027
"Aruba",588.027777777778,43.411,56.589,0.725179011284149
"Asia meridional",380.247133746081,33.9923612456427,66.0076387543573,2.49335753001212
"Asia meridional (BIRF y la AIF)",380.247133746081,33.9923612456427,66.0076387543573,2.49335753001212
"Asia oriental y el Pacífico",95.428211475338,59.0518757457621,40.9481242542379,2.08718550138617
"Asia oriental y el Pacífico (BIRF y la AIF)",130.185452991291,55.5550920185359,44.4449079814641,2.45005591699648
"Asia oriental y el Pacífico (excluido altos ingresos)",130.809797542712,55.6333174752405,44.3666825247595,2.42753879206438
"Australia",3.24787091037205,86.012,13.988,1.66174925937128
"Austria",107.127966860564,58.297,41.703,0.835905515118155
"avanzada del dividendo demográfico",51.3900278827792,62.4522886609957,37.5477113390043,1.94334722035883
"Azerbaiyán",120.23431716463,55.68,44.32,1.47340015238086
"Bahamas",38.5254745254745,83.025,16.975,1.13169108074155
"Bahrein",2017.27369979138,89.287,10.713,5.03433159069524
"Bangladesh",1239.57931166936,36.632,63.368,3.1855928338674
"Barbados",666.606976744186,31.147,68.853,0.104220957844381
"Belarús",46.7195037884204,78.595,21.405,0.43270187102989
"Bélgica",377.379590488771,98.001,1.999,0.496003003468172
"Belice",16.7939938623411,45.724,54.276,2.19397041149562
"Benin",101.853919829727,47.312,52.688,3.89134692985346
"Bermudas",1183.70368279874,100,0,0.0735564578953911
"Bhután",19.7775277714448,40.895,59.105,2.97300923031395
