"País","CrecimientoPobUrb","DensidadPob"
"Afganistán",3.35038297624495,25.495
"África al sur del Sahara",4.05914397581759,40.1768233729515
"África al sur del Sahara (BIRF y la AIF)",4.05914397581759,40.1768233729515
"África al sur del Sahara (excluido altos ingresos)",4.06456693803135,40.1746156500903
"Albania",1.31716210445698,60.319
"Alemania",0.366515155973305,77.312
"América del Norte",0.838061719332956,82.173045483989
"América Latina y el Caribe",1.23516770453622,80.6247918347603
"América Latina y el Caribe (BIRF y la AIF)",1.28933550571386,80.6440236823732
"América Latina y el Caribe (excluido altos ingresos)",1.26232579661634,80.445101086925
"Andorra",-0.092859413109399,88.062
"Angola",4.31179134171658,65.514
"Antigua y Barbuda",0.431582289598593,24.599
"Arabia Saudita",2.06400437868026,83.844
"Argelia",2.80499567674668,72.629
"Argentina",1.14760215897919,91.87
"Armenia",0.309165596528027,63.149
"Aruba",0.725179011284149,43.411
"Asia meridional",2.49335753001212,33.9923612456427
"Asia meridional (BIRF y la AIF)",2.49335753001212,33.9923612456427
"Asia oriental y el Pacífico",2.08718550138617,59.0518757457621
"Asia oriental y el Pacífico (BIRF y la AIF)",2.45005591699648,55.5550920185359
"Asia oriental y el Pacífico (excluido altos ingresos)",2.42753879206438,55.6333174752405
"Australia",1.66174925937128,86.012
"Austria",0.835905515118155,58.297
"avanzada del dividendo demográfico",1.94334722035883,62.4522886609957
"Azerbaiyán",1.47340015238086,55.68
"Bahamas",1.13169108074155,83.025
"Bahrein",5.03433159069524,89.287
"Bangladesh",3.1855928338674,36.632
"Barbados",0.104220957844381,31.147
"Belarús",0.43270187102989,78.595
"Bélgica",0.496003003468172,98.001
"Belice",2.19397041149562,45.724
"Benin",3.89134692985346,47.312
"Bermudas",0.0735564578953911,100
"Bhután",2.97300923031395,40.895
"BIRF y la AIF",2.30223357733861,50.4230972658376
"Bolivia",1.92007368157467,69.425
"Bosnia y Herzegovina",-0.0590360925903149,48.245
"Botswana",3.27767698014147,69.446
"Brasil",1.08463813215672,86.569
"Brunei Darussalam",1.46107673789112,77.629
"Bulgaria",-0.269102082353336,75.008
"Burkina Faso",4.98415981781227,29.358
"Burundi",5.70008634067739,13.032
"Cabo Verde",1.87888979052915,65.732
"Camboya",3.25025074021303,23.388
"Camerún",3.67693315164019,56.374
"Canadá",1.47290288037893,81.411
"Chad",3.89908834293785,23.059
